iter	MultiRMSE
0	133.2453292
1	82.99440389
2	55.27834343
3	42.82720734
4	37.22151959
5	34.73106227
6	33.18542637
7	31.89706157
8	31.32163736
9	30.7035313
10	30.30995469
11	29.74403412
12	29.13426029
13	28.84890718
14	28.27447143
15	27.93140661
16	27.67064393
17	27.18113888
18	26.73641344
19	26.33179145
20	25.92699901
21	25.46837614
22	25.03203743
23	24.65574619
24	24.16163096
25	23.87993818
26	23.56605098
27	23.33939178
28	23.21631545
29	23.10771558
30	22.99806592
31	22.72911327
32	22.4161047
33	22.30109742
34	22.03079296
35	21.59374041
36	21.40261092
37	21.120709
38	20.95408728
39	20.60751971
40	20.39423545
41	20.23358559
42	20.14003125
43	19.93934449
44	19.64618169
45	19.3596286
46	18.94933704
47	18.75880996
48	18.62605082
49	18.34722004
50	18.14800308
51	18.08025152
52	17.73722156
53	17.6361258
54	17.44620677
55	17.26768928
56	17.2268999
57	17.01295875
58	16.86623988
59	16.78988961
60	16.69946496
61	16.49613424
62	16.45219544
63	16.23147103
64	16.06614455
65	15.87072261
66	15.699587
67	15.67980763
68	15.58629562
69	15.53405595
70	15.33331961
71	15.22979972
72	15.1281224
73	15.03163573
74	14.83495466
75	14.72881517
76	14.68991746
77	14.55320039
78	14.47941837
79	14.2629946
80	14.13673184
81	13.98212099
82	13.9124152
83	13.72496266
84	13.66600715
85	13.59404189
86	13.40489041
87	13.27025604
88	13.19124633
89	13.08996473
90	12.98198378
91	12.93178963
92	12.79233243
93	12.64823599
94	12.58337724
95	12.53101588
96	12.44095274
97	12.32708753
98	12.29836408
99	12.24276811
100	12.15984291
101	12.04267641
102	11.97669311
103	11.95284378
104	11.89563864
105	11.80606838
106	11.686281
107	11.55080631
108	11.50750807
109	11.40451569
110	11.30241519
111	11.17148238
112	11.11697093
113	11.04095697
114	11.01392962
115	10.84876314
116	10.8054318
117	10.72009284
118	10.62822778
119	10.60292929
120	10.52433776
121	10.4630964
122	10.44401761
123	10.4048834
124	10.36956539
125	10.31512432
126	10.26835054
127	10.25414543
128	10.12962797
129	10.09215149
130	10.01077883
131	9.944972832
132	9.902092008
133	9.875395513
134	9.813185714
135	9.788570589
136	9.6602052
137	9.571126447
138	9.55340882
139	9.476829734
140	9.445700874
141	9.397029889
142	9.352700611
143	9.327859135
144	9.192874777
145	9.066286577
146	9.034353032
147	8.949244649
148	8.919233914
149	8.870006036
