iter	Passed	Remaining
0	218	32584
1	455	33723
2	694	34016
3	954	34843
4	1221	35410
5	1495	35898
6	1726	35269
7	1993	35392
8	2221	34803
9	2463	34492
10	2668	33719
11	2903	33393
12	3144	33133
13	3341	32464
14	3590	32317
15	3811	31918
16	4070	31841
17	4284	31417
18	4534	31265
19	4782	31085
20	5052	31037
21	5280	30724
22	5496	30352
23	5728	30072
24	5934	29670
25	6192	29535
26	6508	29651
27	6763	29471
28	6999	29204
29	7413	29654
30	7710	29598
31	7945	29300
32	8321	29502
33	8560	29207
34	8808	28941
35	9058	28684
36	9289	28370
37	9509	28026
38	9821	27952
39	10076	27710
40	10291	27360
41	10590	27231
42	10891	27101
43	11125	26801
44	11399	26598
45	11632	26300
46	11895	26068
47	12147	25813
48	12437	25635
49	12699	25399
50	12940	25119
51	13301	25067
52	13595	24883
53	13850	24623
54	14175	24484
55	14459	24270
56	14734	24041
57	15056	23882
58	15340	23660
59	15583	23375
60	15852	23129
61	16123	22884
62	16342	22568
63	16606	22314
64	16881	22076
65	17135	21808
66	17410	21567
67	17691	21333
68	18005	21136
69	18297	20911
70	18567	20659
71	18822	20391
72	19041	20084
73	19373	19896
74	19713	19713
75	19956	19431
76	20197	19148
77	20406	18836
78	20683	18588
79	20977	18355
80	21340	18179
81	21621	17930
82	21884	17665
83	22194	17438
84	22441	17161
85	22747	16928
86	23039	16683
87	23372	16466
88	23628	16194
89	24018	16012
90	24270	15735
91	24560	15483
92	24830	15218
93	25084	14943
94	25309	14652
95	25563	14379
96	25810	14102
97	26051	13822
98	26278	13537
99	26497	13248
100	26777	12991
101	27071	12739
102	27292	12453
103	27509	12167
104	27758	11896
105	27976	11612
106	28207	11335
107	28446	11062
108	28667	10783
109	28913	10514
110	29187	10254
111	29447	9991
112	29697	9724
113	29935	9453
114	30162	9179
115	30396	8909
116	30661	8648
117	30932	8388
118	31202	8128
119	31423	7855
120	31681	7593
121	31899	7321
122	32253	7080
123	32492	6813
124	32729	6545
125	32951	6276
126	33215	6015
127	33444	5748
128	33668	5480
129	33910	5217
130	34168	4955
131	34391	4689
132	34609	4423
133	34852	4161
134	35114	3901
135	35420	3646
136	35751	3392
137	36123	3141
138	36452	2884
139	36706	2621
140	36955	2358
141	37187	2095
142	37559	1838
143	37864	1577
144	38155	1315
145	38414	1052
146	38738	790
147	39032	527
148	39343	264
149	39579	0
