iter	RMSE
0	0.9654920782
1	0.9316188427
2	0.9019029469
3	0.8763619398
4	0.8537226808
5	0.8300467979
6	0.8119072729
7	0.7939101664
8	0.7815245392
9	0.7683832188
10	0.756489482
11	0.7436396917
12	0.7326129539
13	0.7241766166
14	0.7156490964
15	0.7067710384
16	0.6999285989
17	0.6930411656
18	0.6846427776
19	0.6787194832
20	0.6730162731
21	0.6673049791
22	0.6643672219
23	0.6596002248
24	0.6559929829
25	0.6528739322
26	0.6493196508
27	0.6453307352
28	0.6411322698
29	0.6380434647
30	0.6350255641
31	0.6307762992
32	0.6272639597
33	0.6237343042
34	0.6215126711
35	0.6196831033
36	0.61764275
37	0.6155850013
38	0.6142262094
39	0.6123284856
40	0.6113044595
41	0.610269192
42	0.6084445138
43	0.6078171937
44	0.6049703634
45	0.6040816727
46	0.6031529719
47	0.6018599093
48	0.5997654604
49	0.5978518646
50	0.5959280031
51	0.5937453405
52	0.5921841431
53	0.5909028444
54	0.5891875939
55	0.5877585756
56	0.5855180416
57	0.5846060129
58	0.5838309378
59	0.5824248279
60	0.5814485122
61	0.5806169575
62	0.579821234
63	0.578004787
64	0.5770877074
65	0.5763088921
66	0.5753339799
67	0.5727726438
68	0.5711187293
69	0.5695262541
70	0.5676389292
71	0.5660923468
72	0.5657444375
73	0.5652731969
74	0.5638256917
75	0.5629675403
76	0.5623923409
77	0.561911952
78	0.5605910776
79	0.5601283776
80	0.5589092695
81	0.5585845542
82	0.5582937785
83	0.5576731338
84	0.5571731047
85	0.5569242479
86	0.5557151637
87	0.5554832356
88	0.5548800482
89	0.5540809431
