iter	Passed	Remaining
0	5	526
1	10	481
2	16	487
3	22	476
4	27	474
5	33	474
6	40	478
7	45	470
8	51	463
9	57	459
10	63	454
11	69	451
12	74	442
13	80	439
14	85	428
15	91	424
16	97	417
17	103	412
18	109	409
19	114	401
20	120	396
21	127	392
22	135	394
23	142	391
24	148	386
25	153	377
26	160	373
27	166	368
28	172	363
29	179	358
30	185	352
31	191	347
32	198	342
33	204	337
34	210	331
35	218	327
36	226	324
37	236	323
38	242	317
39	247	309
40	252	301
41	257	294
42	263	288
43	268	280
44	274	274
45	279	266
46	285	261
47	291	255
48	297	249
49	304	243
50	310	237
51	317	231
52	323	225
53	329	219
54	334	212
55	340	206
56	346	200
57	351	194
58	357	188
59	363	181
60	369	175
61	374	168
62	379	162
63	385	156
64	390	150
65	395	143
66	401	137
67	407	131
68	414	126
69	420	120
70	426	114
71	432	108
72	437	101
73	441	95
74	446	89
75	452	83
76	456	77
77	462	71
78	467	65
79	472	59
80	478	53
81	482	47
82	487	41
83	492	35
84	497	29
85	502	23
86	506	17
87	512	11
88	516	5
89	521	0
